First Name,Last Name,DOB,Money Available,Flights Purchased,MinerAir Membership,Username,Password
Joshua,Gomez,7/14/74,12980.18,0,true,joshuagomez,Fun!23
Kim,Craig,3/6/86,14739.9,0,true,kimcraig,Fun!23
Amy,Chase,5/25/42,13189.11,0,true,amychase,Fun!23
Travis,Ruiz,6/24/52,6827.24,0,false,travisruiz,Fun!23
Christopher,Osborne,5/23/00,9945.22,0,false,christopherosborne,Fun!23
Sariyah,Russell,7/23/14,3201.11,0,false,sariyahrussell,Fun!23
Tanya,Davis,11/30/09,11584.88,0,false,tanyadavis,Fun!23
Lindsay,Webster,4/3/66,7364.79,0,true,lindsaywebster,Fun!23
Amanda,Baker,9/10/95,11365.05,0,true,amandabaker,Fun!23
Randy,Keller,2/1/62,4054.3,0,true,randykeller,Fun!23
Sharon,Gillespie,4/10/69,8689.54,0,false,sharongillespie,Fun!23
Dennis,Smith,3/28/04,9084.32,0,true,dennissmith,Fun!23
Victoria,Moses,9/19/19,7275.92,0,false,victoriamoses,Fun!23
Holly,Cruz,7/4/15,8843.47,0,false,hollycruz,Fun!23
Kelly,Bell,9/7/92,13628.41,0,false,kellybell,Fun!23
Michelle,Walsh,3/30/47,2144.52,0,true,michellewalsh,Fun!23
Jermaine,Dean,6/17/93,14003.66,0,false,jermainedean,Fun!23
Sandy,Blackwell,6/28/41,12326.19,0,false,sandyblackwell,Fun!23
Tammy,Martinez,11/24/97,10938.84,0,false,tammymartinez,Fun!23
William,Ortiz,10/18/15,6264.09,0,true,williamortiz,Fun!23
David,Soto,2/9/52,6559.06,0,false,davidsoto,Fun!23
Gabriel,Hansen,1/20/34,11239.2,0,false,gabrielhansen,Fun!23
Melissa,Holt,1/1/57,11119.64,0,false,melissaholt,Fun!23
Dean,Smith,4/24/71,11094.57,0,false,deansmith,Fun!23
Susan,Allen,3/21/92,7495.25,0,true,susanallen,Fun!23
Mikayla,Dennis,1/19/41,11562.54,0,true,mikayladennis,Fun!23
Amber,Sellers,5/3/04,14707.16,0,true,ambersellers,Fun!23
Jose,Farley,7/25/41,11595.8,0,true,josefarley,Fun!23
Ashley,Evans,10/18/79,12134.15,0,true,ashleyevans,Fun!23
Ruben,CarmonaMedrano,6/6/87,4757.99,0,true,rubencarmonamedrano,Fun!23
Nicholas,Copeland,7/1/59,4915.5,0,true,nicholascopeland,Fun!23
Victoria,White,8/24/55,12747.56,0,true,victoriawhite,Fun!23
Craig,Oconnell,5/29/75,4527.51,0,true,craigoconnell,Fun!23
Julie,Shaw,5/23/45,2800.76,0,true,julieshaw,Fun!23
Brooke,Maxwell,6/21/19,4899.55,0,false,brookemaxwell,Fun!23
Richard,Vargas,1/2/88,13016.94,0,true,richardvargas,Fun!23
Carol,Elliott,3/8/44,6270.47,0,false,carolelliott,Fun!23
Alexander,Kelly,8/17/36,11075.77,0,true,alexanderkelly,Fun!23
Linda,Alexander,7/7/18,8428.8,0,false,lindaalexander,Fun!23
Eric,Vazquez,4/18/96,4724.47,0,false,ericvazquez,Fun!23
Sarah,Taylor,2/2/54,7575.86,0,false,sarahtaylor,Fun!23
Michael,Cowan,6/28/98,5814.98,0,true,michaelcowan,Fun!23
Bobby,Bennett,8/29/93,6470.59,0,true,bobbybennett,Fun!23
Joshua,Meadows,9/21/62,6152.46,0,true,joshuameadows,Fun!23
Lilo,Disney,8/9/34,2066.31,0,true,lilodisney,Fun!23
Luis,Del Campo,4/18/40,9673.12,0,true,luisdel campo,Fun!23
Crystal,Hudson,1/4/32,13171.75,0,true,crystalhudson,Fun!23
Wesley,Lambert,5/22/77,14871.24,0,true,wesleylambert,Fun!23
Kimberly,Roberts,10/11/01,12478.6,0,true,kimberlyroberts,Fun!23
Alicia,Jenkins,5/7/44,9249.59,0,true,aliciajenkins,Fun!23
Holly,Davidson,5/16/61,10461.2,0,false,hollydavidson,Fun!23
Joshua,Hickman,1/5/24,13684.53,0,false,joshuahickman,Fun!23
Bryan,Wise,3/24/77,11803.47,0,true,bryanwise,Fun!23
Jessica,Olsen,10/25/28,12279.81,0,false,jessicaolsen,Fun!23
James,Brennan,3/12/36,8471.75,0,true,jamesbrennan,Fun!23
Brian,Andrews,10/15/56,13599.67,0,true,brianandrews,Fun!23
Amy,Morse,7/6/49,13302.36,0,true,amymorse,Fun!23
Dorothy,Cox,7/1/16,4654.17,0,true,dorothycox,Fun!23
Leila,Martinez,12/17/88,10135.16,0,true,leilamartinez,Fun!23
Gregory,Sullivan,2/6/45,12607.08,0,true,gregorysullivan,Fun!23
Darren,Gibbs,3/13/06,4248.92,0,false,darrengibbs,Fun!23
Jill,Solis,9/11/04,5495.43,0,false,jillsolis,Fun!23
Jerry,Rodriguez,8/27/68,2862.93,0,true,jerryrodriguez,Fun!23
Hector,Whitney,8/28/27,13620.04,0,true,hectorwhitney,Fun!23
Corey,Wilson,12/16/86,11598.68,0,true,coreywilson,Fun!23
Alexander,Carter,3/30/73,14188.67,0,true,alexandercarter,Fun!23
Andrew,Campos,4/13/44,4620.23,0,false,andrewcampos,Fun!23
Kathy,Smith,1/9/66,3542.04,0,false,kathysmith,Fun!23
Wesley,Williamson,5/17/91,2988.23,0,false,wesleywilliamson,Fun!23
Tanya,Kent,4/11/09,10311.63,0,true,tanyakent,Fun!23
Anthony,Byrd,11/24/98,10594.1,0,false,anthonybyrd,Fun!23
Carlos,Lynch,10/1/41,5442.93,0,false,carloslynch,Fun!23
Jessica,Anderson,11/6/61,6078.68,0,false,jessicaanderson,Fun!23
Alexandra,Fox,8/8/02,4992.66,0,false,alexandrafox,Fun!23
Jose,Espinoza Gonzalez,6/19/18,6918.51,0,true,joseespinoza gonzalez,Fun!23
Cody,Robles,12/1/02,2919.75,0,false,codyrobles,Fun!23
Isabella,Gaytan,10/9/09,9753.18,0,true,isabellagaytan,Fun!23
Ryan,Bowman,12/27/46,9568.99,0,false,ryanbowman,Fun!23
Zachary,Ellison,7/31/74,14404.57,0,false,zacharyellison,Fun!23
Deanna,Cummings,6/5/93,7340.52,0,false,deannacummings,Fun!23
Mitchell,Gross,12/26/41,13793.01,0,true,mitchellgross,Fun!23
Kylie,King,9/10/46,7861.32,0,false,kylieking,Fun!23
Elizabeth,Dominguez,11/11/88,13980.56,0,true,elizabethdominguez,Fun!23
Sarah,Griffin,8/11/68,10311.54,0,true,sarahgriffin,Fun!23
Edward,Molina,12/20/09,10414.86,0,false,edwardmolina,Fun!23
Christopher,Johnson,1/24/78,4200.37,0,true,christopherjohnson,Fun!23
Mark,Washington,1/16/40,8703.84,0,true,markwashington,Fun!23
Brett,Mathis,5/7/41,4892.18,0,true,brettmathis,Fun!23
Joseph,Hanna,12/26/90,5729.71,0,false,josephhanna,Fun!23
Kevin,Swanson,9/13/60,9618.43,0,true,kevinswanson,Fun!23
Mary,Gonzalez,11/2/83,6667.7,0,false,marygonzalez,Fun!23
Colleen,Sanchez,7/30/35,3656.58,0,false,colleensanchez,Fun!23
Michael,Williams,7/14/66,13199.08,0,false,michaelwilliams,Fun!23
Amy,Bradley,7/8/24,4945.51,0,true,amybradley,Fun!23
Kimberly,Harris,7/18/32,5174.77,0,false,kimberlyharris,Fun!23
Jacob,Williams,4/27/75,13896.47,0,true,jacobwilliams,Fun!23
Jason,Wolfe,2/7/54,12597.39,0,true,jasonwolfe,Fun!23
Jafar,Aladdin,3/16/28,12841.85,0,false,jafaraladdin,Fun!23
Crystal,Walker,3/18/65,2827.19,0,false,crystalwalker,Fun!23
Philip,Chaney,2/27/04,6056.5,0,false,philipchaney,Fun!23
Lisa,Gaines,3/18/02,10253.32,0,false,lisagaines,Fun!23
Derrick,Grant,9/9/52,9508.0,0,false,derrickgrant,Fun!23
Wendy,Montoya,8/1/40,7698.46,0,true,wendymontoya,Fun!23
Leonard,King,9/16/19,3339.07,0,true,leonardking,Fun!23
Brett,Wallace,1/16/18,2399.1,0,false,brettwallace,Fun!23
Diana,Valles,10/27/05,2484.87,0,true,dianavalles,Fun!23
Colleen,Hall,8/3/25,14247.2,0,true,colleenhall,Fun!23
Michael,Castillo,6/11/98,14131.9,0,true,michaelcastillo,Fun!23
Suzanne,Kennedy,7/4/58,5400.21,0,false,suzannekennedy,Fun!23
Kaylee,Patterson,10/12/32,9309.14,0,false,kayleepatterson,Fun!23
Ariel,Disney,3/12/37,7988.21,0,true,arieldisney,Fun!23
April,Lopez,9/22/13,11394.97,0,true,aprillopez,Fun!23
Gabriel,Terrazas,9/17/44,5391.29,0,true,gabrielterrazas,Fun!23
Richard,Sullivan,5/21/16,10680.67,0,false,richardsullivan,Fun!23
George,Proctor,3/25/49,3938.51,0,false,georgeproctor,Fun!23
Elizabeth,Alvarez,2/2/61,8077.6,0,false,elizabethalvarez,Fun!23
Todd,Brooks,7/1/64,9642.58,0,false,toddbrooks,Fun!23
Sarah,Cline,8/21/74,7229.47,0,true,sarahcline,Fun!23
Brian,Rojas,5/26/38,2479.03,0,false,brianrojas,Fun!23
Dawn,King,8/8/30,4303.58,0,true,dawnking,Fun!23
Michael,Mccormick,12/25/25,7903.91,0,true,michaelmccormick,Fun!23
Seth,Rodriguez,2/22/44,5238.47,0,true,sethrodriguez,Fun!23
Chris,Jones,11/20/98,9542.92,0,true,chrisjones,Fun!23
Jennifer,Mills,3/28/37,13864.12,0,false,jennifermills,Fun!23
Andrew,Mcclure,12/21/05,9537.31,0,true,andrewmcclure,Fun!23
Anna,Davis,10/19/40,10815.0,0,false,annadavis,Fun!23
Susan,Garcia,8/11/03,5108.06,0,true,susangarcia,Fun!23
Linda,Miller,11/29/61,6898.47,0,false,lindamiller,Fun!23
Denise,Morales,4/30/74,8742.54,0,false,denisemorales,Fun!23
Rachel,Vasquez,10/31/81,10042.73,0,false,rachelvasquez,Fun!23
Gerald,Beltran,2/11/96,11915.49,0,true,geraldbeltran,Fun!23
Jerry,Hampton,3/1/51,9574.95,0,true,jerryhampton,Fun!23
Miguel,Lucero,11/18/33,8028.13,0,false,miguellucero,Fun!23
Christopher,Wright,12/5/76,12848.87,0,false,christopherwright,Fun!23
Ashley,Jones,4/4/40,3196.08,0,false,ashleyjones,Fun!23
Elizabeth,Rodriguez,9/20/88,8093.76,0,false,elizabethrodriguez,Fun!23
Pluto,Disney,8/5/95,11681.54,0,true,plutodisney,Fun!23
Tyrone,Johnston,7/11/06,12694.42,0,true,tyronejohnston,Fun!23
Jose,Smith,10/2/34,4725.67,0,false,josesmith,Fun!23
Chip,Disney,11/28/41,3297.92,0,false,chipdisney,Fun!23
Lisa,Brown,5/29/09,10815.25,0,true,lisabrown,Fun!23
Gustavo,Rubio,9/16/42,3501.05,0,true,gustavorubio,Fun!23
Karla,Johnson,3/24/33,10157.16,0,true,karlajohnson,Fun!23
Jamie,Hernandez,4/1/53,9111.15,0,true,jamiehernandez,Fun!23
Victor,Lopez,8/31/51,14144.58,0,true,victorlopez,Fun!23
Thomas,King,4/19/44,11349.5,0,false,thomasking,Fun!23
Steven,Cabrera,8/20/61,9997.12,0,false,stevencabrera,Fun!23
Sara,West,10/20/47,9421.82,0,false,sarawest,Fun!23
Matthew,Gonzalez,6/30/56,14624.83,0,true,matthewgonzalez,Fun!23
Michael,Thomas,9/8/16,7626.74,0,true,michaelthomas,Fun!23
Christina,Jones,9/14/49,4331.26,0,false,christinajones,Fun!23
Bryan,Massey,5/17/52,9806.83,0,false,bryanmassey,Fun!23
Michael,Adams,11/22/77,13805.02,0,true,michaeladams,Fun!23
Lori,Hall,3/18/80,13999.2,0,true,lorihall,Fun!23
Angela,English,2/27/28,11306.25,0,true,angelaenglish,Fun!23
Bridget,Wagner,7/21/91,8917.7,0,false,bridgetwagner,Fun!23
Jennifer,Preston,11/26/08,4412.19,0,false,jenniferpreston,Fun!23
Michael,Martinez,10/15/17,13615.0,0,true,michaelmartinez,Fun!23
Ronald,Parker,1/20/35,2184.87,0,true,ronaldparker,Fun!23
Travis,Mcdonald,11/7/37,7042.63,0,false,travismcdonald,Fun!23
Monica,Craig,8/31/16,9054.41,0,false,monicacraig,Fun!23
Sean,Smith,12/3/98,3054.44,0,true,seansmith,Fun!23
Rachel,Roberson,10/13/70,12779.99,0,false,rachelroberson,Fun!23
Ryan,Brown,2/20/83,9544.51,0,true,ryanbrown,Fun!23
Cody,Scott,12/3/32,8381.28,0,true,codyscott,Fun!23
Alexander,Cameron,12/1/33,3404.0,0,false,alexandercameron,Fun!23
Tyler,Baxter,1/26/76,2079.48,0,false,tylerbaxter,Fun!23
Melissa,Rivera,3/23/29,2526.9,0,true,melissarivera,Fun!23
Michael,Williamson,5/3/15,4949.66,0,false,michaelwilliamson,Fun!23
Elizabeth,Torres,6/29/22,7293.63,0,true,elizabethtorres,Fun!23
Nicole,Hart,1/4/53,9882.8,0,true,nicolehart,Fun!23
Mercedes,Nichols,11/17/61,14562.07,0,true,mercedesnichols,Fun!23
Minnie,Mouse,11/23/42,9915.93,0,false,minniemouse,Fun!23
Nicholas,Jackson,3/3/16,13163.92,0,true,nicholasjackson,Fun!23
Jonathan,Martinez,11/7/60,11563.53,0,true,jonathanmartinez,Fun!23
Teresa,Jacobs,10/24/74,14119.55,0,true,teresajacobs,Fun!23
Timothy,Johnson,2/28/64,3934.51,0,false,timothyjohnson,Fun!23
Ashley,Walker,7/10/79,7215.14,0,false,ashleywalker,Fun!23
Timothy,Bernard,3/10/49,4105.95,0,true,timothybernard,Fun!23
Kelly,Herring,1/12/81,2221.08,0,false,kellyherring,Fun!23
Christopher,Underwood,9/18/08,9269.37,0,false,christopherunderwood,Fun!23
Donna,Travis,2/8/05,7046.12,0,true,donnatravis,Fun!23
Joseph,Davis,12/28/13,14785.5,0,false,josephdavis,Fun!23
Richard,Brown,8/11/64,2248.0,0,true,richardbrown,Fun!23
Emma,Armstrong,5/10/00,7916.14,0,true,emmaarmstrong,Fun!23
Crystal,Hayes,8/1/01,5786.22,0,false,crystalhayes,Fun!23
Chris,Holden,3/11/71,7147.39,0,false,chrisholden,Fun!23
Katherine,Evans,11/27/95,7223.12,0,false,katherineevans,Fun!23
Becky,Simpson,2/24/94,8403.3,0,false,beckysimpson,Fun!23
Margaret,Smith,7/7/43,10427.19,0,false,margaretsmith,Fun!23
Brandon,CartwrightLi,11/9/28,10397.59,0,true,brandoncartwrightli,Fun!23
Emily,Estes,2/14/20,12741.07,0,false,emilyestes,Fun!23
Jared,Scott,12/2/92,11026.02,0,true,jaredscott,Fun!23
Kenneth,House,2/28/65,4343.65,0,false,kennethhouse,Fun!23
Anthony,Kramer,6/28/34,12633.15,0,true,anthonykramer,Fun!23
Stephanie,Williams,1/2/70,9231.27,0,false,stephaniewilliams,Fun!23
Brian,Hayes,7/19/60,14549.8,0,false,brianhayes,Fun!23
Teresa,Stewart,12/12/17,2105.25,0,true,teresastewart,Fun!23
James,Simpson,5/17/51,3662.13,0,false,jamessimpson,Fun!23
Shirley,Foster,12/7/56,7363.18,0,true,shirleyfoster,Fun!23
Elizabeth,Jackson,7/31/98,4956.91,0,false,elizabethjackson,Fun!23
Crystal,Young,9/17/39,12253.07,0,false,crystalyoung,Fun!23
Victor,Anderson,9/29/82,13281.7,0,false,victoranderson,Fun!23
Sara,Fox,5/27/66,7106.08,0,true,sarafox,Fun!23
Perry,Hill,11/22/84,9475.23,0,false,perryhill,Fun!23
Ruth,Ponce,2/19/69,10460.34,0,true,ruthponce,Fun!23
Daniel,Hampton,11/16/62,7575.12,0,false,danielhampton,Fun!23
Keith,Christensen,8/20/96,8397.84,0,false,keithchristensen,Fun!23
Kelly,Wilson,5/20/67,6831.67,0,true,kellywilson,Fun!23
Joseph,Robinson,1/31/83,14861.79,0,false,josephrobinson,Fun!23
Richard,Paul,11/22/40,10962.7,0,false,richardpaul,Fun!23
Mary,Stevens,2/24/56,12369.3,0,true,marystevens,Fun!23
Matthew,Erickson,11/23/07,6206.06,0,true,matthewerickson,Fun!23
Susan,Alvarez,9/21/19,8031.66,0,true,susanalvarez,Fun!23
Olivia,Romero,5/22/78,8931.85,0,false,oliviaromero,Fun!23
Gregory,Short,9/4/32,6724.64,0,true,gregoryshort,Fun!23
Donald,Haynes,11/22/44,3410.06,0,true,donaldhaynes,Fun!23
Amy,Parsons,1/23/87,14820.23,0,false,amyparsons,Fun!23
Keith,Ellis,11/3/17,6711.7,0,false,keithellis,Fun!23
Christina,Wheeler,8/27/13,2295.91,0,true,christinawheeler,Fun!23
Brittany,Hawkins,7/12/08,13786.13,0,false,brittanyhawkins,Fun!23
Sonam,Tshering,4/9/56,12076.64,0,false,sonamtshering,Fun!23
Elizabeth,Cordova,2/10/72,13215.34,0,true,elizabethcordova,Fun!23
Angela,Mcintyre,10/22/84,12068.43,0,true,angelamcintyre,Fun!23
Woody,Disney,2/20/91,8595.5,0,false,woodydisney,Fun!23
James,Nolan,7/31/02,4970.07,0,true,jamesnolan,Fun!23
Misty,Jimenez,8/24/10,13249.93,0,true,mistyjimenez,Fun!23
Kevin,Harrison,2/6/16,8452.33,0,true,kevinharrison,Fun!23
Mark,Gonzalez,2/11/56,7640.06,0,true,markgonzalez,Fun!23
Joshua,Banks,1/3/04,3030.01,0,false,joshuabanks,Fun!23
Beth,Sharp,9/3/57,8616.5,0,false,bethsharp,Fun!23
Linda,Rodriguez,6/7/94,8554.88,0,false,lindarodriguez,Fun!23
Ricky,Thompson,7/28/52,8710.22,0,true,rickythompson,Fun!23
Michael,Morton,10/31/05,4944.99,0,false,michaelmorton,Fun!23
Chelsea,Gallagher,8/2/29,2319.2,0,true,chelseagallagher,Fun!23
Travis,Burton,10/19/68,14594.75,0,false,travisburton,Fun!23
Patrick,Larsen,4/21/02,2435.54,0,false,patricklarsen,Fun!23
Amber,Brown,11/8/30,2654.24,0,false,amberbrown,Fun!23
Natalie,Richardson,12/27/26,9591.17,0,true,natalierichardson,Fun!23
Joseph,Fritz,7/26/65,10872.34,0,false,josephfritz,Fun!23
Jared,Perry,6/21/89,13505.04,0,false,jaredperry,Fun!23
Christina,Villanueva,6/16/02,13365.43,0,true,christinavillanueva,Fun!23
Ursela,Mermaid,1/11/94,10221.96,0,true,urselamermaid,Fun!23
Henry,Salazar,9/12/53,11642.02,0,false,henrysalazar,Fun!23
Darlene,Shaw,1/26/10,13364.16,0,false,darleneshaw,Fun!23
Sharon,Miller,10/25/37,9189.91,0,true,sharonmiller,Fun!23
Debra,Blackwell,12/22/74,2224.25,0,true,debrablackwell,Fun!23
Nicholas,Smith,2/20/65,6018.09,0,false,nicholassmith,Fun!23
John,Jones,3/17/31,5201.61,0,true,johnjones,Fun!23
Christina,Carter,7/31/48,10926.94,0,false,christinacarter,Fun!23
Gerald,Baker,4/4/20,8280.34,0,true,geraldbaker,Fun!23
Patrick,Bennett,5/4/69,4204.58,0,false,patrickbennett,Fun!23
Anthony,Brooks,7/26/15,4171.79,0,false,anthonybrooks,Fun!23
Michelle,Sexton,3/5/57,7701.72,0,true,michellesexton,Fun!23
Jason,Lee,12/13/79,2493.0,0,true,jasonlee,Fun!23
Amber,Nguyen,10/31/49,12581.19,0,false,ambernguyen,Fun!23
Kenneth,Smith,9/25/02,5932.42,0,true,kennethsmith,Fun!23
Brenda,Douglas,6/12/68,8860.32,0,false,brendadouglas,Fun!23
Cinderella,Disney,4/9/98,5270.44,0,false,cinderelladisney,Fun!23
Lauren,Hall,11/18/29,3539.02,0,true,laurenhall,Fun!23
Theresa,Obrien,8/28/49,3548.38,0,false,theresaobrien,Fun!23
Bella,Quintero,8/29/05,5818.66,0,true,bellaquintero,Fun!23
Brandi,Daniel,11/21/27,10082.62,0,false,brandidaniel,Fun!23
Danielle,Gardner,1/18/49,14771.19,0,false,daniellegardner,Fun!23
Norman,Freeman,5/6/45,6908.08,0,true,normanfreeman,Fun!23
Shannon,Holden,1/19/12,8125.55,0,true,shannonholden,Fun!23
Steven,Owens,6/28/13,12865.75,0,false,stevenowens,Fun!23
James,Hammond,7/26/66,6120.89,0,false,jameshammond,Fun!23
Krista,Lambert,6/7/67,4552.75,0,true,kristalambert,Fun!23
Samuel,Harrington,10/15/29,7895.16,0,false,samuelharrington,Fun!23
Nicole,Johnson,7/29/69,9101.82,0,false,nicolejohnson,Fun!23
Amanda,Vang,11/19/89,2524.97,0,false,amandavang,Fun!23
Akinyemi,Akinjayeju,5/21/18,13288.33,0,false,akinyemiakinjayeju,Fun!23
Jake,Mitchell,4/5/43,3299.31,0,true,jakemitchell,Fun!23
Tiffany,Jones,11/28/87,10773.28,0,true,tiffanyjones,Fun!23
Mariah,Black,12/18/50,14285.82,0,true,mariahblack,Fun!23
Brian,Jacobson,8/23/52,10775.93,0,false,brianjacobson,Fun!23
Scott,Dunn,9/18/76,14336.66,0,false,scottdunn,Fun!23
Peggy,Murphy,12/26/85,4219.37,0,false,peggymurphy,Fun!23
Brian,Jensen,7/13/86,12093.03,0,false,brianjensen,Fun!23
Anita,Stein,10/27/42,3562.32,0,false,anitastein,Fun!23
Michael,Prince,4/3/81,13924.29,0,true,michaelprince,Fun!23
Samantha,Thomas,4/20/21,4314.77,0,true,samanthathomas,Fun!23
Jennifer,Davidson,2/19/01,3873.14,0,true,jenniferdavidson,Fun!23
Diana,Garcia,2/27/60,5349.72,0,false,dianagarcia,Fun!23
Kirsten,Robinson,4/14/33,5913.8,0,true,kirstenrobinson,Fun!23
Mayra,Robles,10/16/26,8649.54,0,true,mayrarobles,Fun!23
Jenna,Chase,5/5/56,9043.32,0,true,jennachase,Fun!23
Lauren,Neal,9/9/61,7252.78,0,false,laurenneal,Fun!23
Cesar,Jones,3/15/94,5064.94,0,true,cesarjones,Fun!23
Mark,Lozano,1/7/87,7839.92,0,true,marklozano,Fun!23
Doris,Moore,1/3/17,8779.28,0,true,dorismoore,Fun!23
Jesse,Dunn,6/21/96,12702.17,0,true,jessedunn,Fun!23
Anthony,Sims,8/26/60,13709.46,0,false,anthonysims,Fun!23
Brandy,Wilkerson,4/24/56,5277.62,0,true,brandywilkerson,Fun!23
Jeff,Ray,9/4/62,3915.05,0,true,jeffray,Fun!23
Brittany,Weaver,4/13/17,12829.88,0,true,brittanyweaver,Fun!23
Antonio,Edwards,8/5/53,3263.32,0,false,antonioedwards,Fun!23
Omar,Hoang,10/10/39,13435.0,0,true,omarhoang,Fun!23
Stephanie,Mcdonald,8/26/57,12824.46,0,true,stephaniemcdonald,Fun!23
Brian,Gates,2/22/71,13781.75,0,false,briangates,Fun!23
Lisa,Miller,11/29/73,12805.89,0,true,lisamiller,Fun!23
Erin,Mejia,5/1/04,9233.21,0,false,erinmejia,Fun!23
Garab,Dorji,11/7/75,14518.68,0,true,garabdorji,Fun!23
James,Mitchell,12/24/88,8409.78,0,true,jamesmitchell,Fun!23
Melissa,Evans,7/4/41,11754.95,0,true,melissaevans,Fun!23
Emily,Cole,3/31/92,14145.75,0,false,emilycole,Fun!23
Linda,Robles,7/2/57,8189.07,0,false,lindarobles,Fun!23
Alyssa,Kelly,3/13/48,3975.91,0,false,alyssakelly,Fun!23
Michelle,Jones,5/4/57,4495.34,0,true,michellejones,Fun!23
Mark,Thompson,4/2/82,6847.32,0,false,markthompson,Fun!23
Casey,Navarro,9/26/27,4981.31,0,false,caseynavarro,Fun!23
Donna,Allen,1/11/94,10582.09,0,true,donnaallen,Fun!23
Joseph,Brooks,10/17/54,10133.96,0,false,josephbrooks,Fun!23
Samantha,Howell,4/24/84,2556.57,0,true,samanthahowell,Fun!23
Christian,Smith,4/26/07,3315.84,0,false,christiansmith,Fun!23
Cynthia,Powell,12/30/43,13587.36,0,false,cynthiapowell,Fun!23
Rebecca,Fisher,10/5/54,6843.56,0,false,rebeccafisher,Fun!23
Jason,Clark,2/11/10,5799.56,0,true,jasonclark,Fun!23
Matthew,Mason,11/12/35,12481.96,0,true,matthewmason,Fun!23
Joseph,Macdonald,3/11/03,4973.31,0,false,josephmacdonald,Fun!23
Jill,Henderson,3/17/94,6828.26,0,true,jillhenderson,Fun!23
Michelle,Maldonado,5/31/24,13159.21,0,false,michellemaldonado,Fun!23
Nicole,Harvey,1/14/93,3825.29,0,true,nicoleharvey,Fun!23
Michelle,Wood,3/9/06,8463.74,0,false,michellewood,Fun!23
Philip,Holt,1/10/64,12189.3,0,false,philipholt,Fun!23
Derek,Irwin,3/16/75,9645.48,0,true,derekirwin,Fun!23
Susan,Hill,2/3/29,4188.44,0,false,susanhill,Fun!23
Dana,Park,9/8/77,2522.14,0,false,danapark,Fun!23
Kevin,Larson,11/3/10,9528.52,0,false,kevinlarson,Fun!23
Louis,Boone,7/1/43,12178.86,0,true,louisboone,Fun!23
Roberto,Gutierrez,12/8/82,14556.84,0,false,robertogutierrez,Fun!23
Mark,Stewart,12/8/58,4651.9,0,true,markstewart,Fun!23
Andrea,Villagomez,9/10/82,14485.19,0,true,andreavillagomez,Fun!23
Andrew,Atkins,9/30/76,4258.75,0,false,andrewatkins,Fun!23
Luis,Solomon,4/16/80,2916.7,0,true,luissolomon,Fun!23
John,Sanders,5/5/94,3698.36,0,false,johnsanders,Fun!23
Jorge,Haley,2/1/30,9448.61,0,false,jorgehaley,Fun!23
James,Anderson,11/20/98,6884.0,0,true,jamesanderson,Fun!23
Ariana,Lara,4/2/67,3736.63,0,true,arianalara,Fun!23
Melissa,Johnson,1/25/73,10885.51,0,false,melissajohnson,Fun!23
Courtney,Olsen,1/1/06,13060.42,0,false,courtneyolsen,Fun!23
Rodney,Berg,11/9/80,14937.0,0,false,rodneyberg,Fun!23
Allison,Chang,11/21/81,7506.48,0,true,allisonchang,Fun!23
